epoch,precision,recall,f1,macro_roc_auc
1,0.8321,0.0981,0.0263,0.5542
2,0.8226,0.0957,0.0168,0.5601
3,0.7497,0.1005,0.0338,0.5746
4,0.5189,0.1172,0.0563,0.6453
5,0.4921,0.1794,0.0892,0.7047
6,0.401,0.1603,0.0778,0.7134
7,0.4561,0.177,0.0918,0.7473
8,0.4428,0.189,0.1248,0.7553
9,0.3153,0.2081,0.1542,0.7753
10,0.2876,0.2512,0.187,0.8154
11,0.2775,0.3038,0.2638,0.8582
12,0.3299,0.3493,0.3114,0.8784
13,0.3497,0.3493,0.3242,0.8953
14,0.3701,0.3732,0.3593,0.9084
15,0.3672,0.3732,0.3588,0.9071
16,0.4243,0.4115,0.4047,0.9133
17,0.4098,0.4115,0.4025,0.921
18,0.4074,0.4043,0.388,0.9122
19,0.4415,0.4402,0.4349,0.9191
20,0.3985,0.3995,0.3751,0.9064
21,0.4422,0.4569,0.4386,0.9255
22,0.4504,0.4593,0.4413,0.9269
23,0.4896,0.4952,0.4834,0.933
24,0.5417,0.5383,0.5324,0.9388
25,0.4835,0.4665,0.4626,0.9311
26,0.5809,0.5646,0.5648,0.9534
27,0.5781,0.567,0.5647,0.9458
28,0.5371,0.5144,0.5115,0.9342
29,0.6079,0.5957,0.595,0.9468
30,0.582,0.5718,0.5713,0.9446
31,0.6455,0.6364,0.6382,0.9585
32,0.6384,0.6268,0.6274,0.9583
33,0.656,0.6364,0.6387,0.9545
34,0.6567,0.6411,0.6397,0.9613
35,0.6481,0.6459,0.6432,0.9621
36,0.5897,0.5766,0.5751,0.9513
37,0.6969,0.6818,0.6819,0.9675
38,0.628,0.6172,0.6149,0.955
39,0.7163,0.7057,0.707,0.9685
40,0.6339,0.6172,0.619,0.9597
41,0.6126,0.6005,0.6007,0.9526
42,0.7259,0.7129,0.714,0.9739
43,0.6784,0.6675,0.6667,0.9616
44,0.7034,0.6914,0.6919,0.9666
45,0.7287,0.7177,0.718,0.9711
46,0.6656,0.6483,0.6516,0.9603
47,0.7179,0.7105,0.7096,0.9731
48,0.7058,0.6986,0.6977,0.9681
49,0.7395,0.7273,0.7282,0.971
50,0.7636,0.7584,0.7584,0.9777
51,0.7369,0.7249,0.725,0.977
52,0.6814,0.677,0.675,0.9702
53,0.7404,0.7344,0.7333,0.9741
54,0.7738,0.7656,0.7674,0.9814
55,0.7559,0.7464,0.7471,0.9773
56,0.7663,0.7632,0.7635,0.983
57,0.7567,0.7488,0.7504,0.9794
58,0.7958,0.7823,0.7832,0.9803
59,0.7625,0.756,0.7575,0.9829
60,0.6788,0.6746,0.6729,0.9706
61,0.788,0.7775,0.7788,0.9813
62,0.7968,0.7919,0.7925,0.9835
63,0.7845,0.7775,0.7794,0.9786
64,0.8051,0.8014,0.802,0.984
65,0.7914,0.7871,0.7876,0.9831
66,0.729,0.7177,0.7182,0.9722
67,0.8261,0.8158,0.817,0.9849
68,0.7098,0.701,0.7008,0.972
69,0.7805,0.7751,0.7751,0.98
70,0.7697,0.7608,0.7609,0.9784
71,0.7838,0.7775,0.7776,0.982
72,0.8291,0.8254,0.8259,0.9862
73,0.8026,0.7967,0.7969,0.9847
74,0.8045,0.799,0.7994,0.9859
75,0.7889,0.7823,0.7821,0.9826
76,0.8193,0.8038,0.8057,0.9852
77,0.8089,0.8014,0.8016,0.9861
78,0.7878,0.7823,0.7834,0.9812
79,0.8203,0.8182,0.8179,0.9895
80,0.8184,0.811,0.8105,0.9874
81,0.8221,0.8182,0.8182,0.9868
82,0.7966,0.7871,0.7879,0.9822
83,0.7942,0.7871,0.7868,0.9819
84,0.779,0.7727,0.773,0.9798
85,0.792,0.7823,0.7836,0.9837
86,0.8288,0.8206,0.8215,0.9861
87,0.8335,0.8278,0.8282,0.9899
88,0.7829,0.7727,0.775,0.9774
89,0.809,0.8014,0.8028,0.9832
90,0.7947,0.7895,0.7899,0.9853
91,0.8337,0.8254,0.8255,0.9876
92,0.7533,0.7488,0.7489,0.9798
93,0.8063,0.799,0.7988,0.9865
94,0.8172,0.8134,0.8135,0.9874
95,0.7708,0.7632,0.7628,0.9801
96,0.8028,0.7967,0.7977,0.9829
97,0.8307,0.8254,0.8264,0.986
98,0.8303,0.823,0.8234,0.9874
99,0.807,0.7967,0.798,0.982
