epoch,precision,recall,f1,macro_roc_auc
1,0.7519,0.0957,0.0231,0.5219
2,0.6767,0.1029,0.0294,0.5788
3,0.71,0.134,0.0533,0.6732
4,0.4747,0.1627,0.0771,0.707
5,0.449,0.1866,0.118,0.7614
6,0.327,0.2105,0.1607,0.7779
7,0.3229,0.2464,0.2275,0.8169
8,0.3162,0.3134,0.2949,0.85
9,0.2946,0.2967,0.28,0.8642
10,0.2792,0.2943,0.279,0.8733
11,0.2838,0.2871,0.2693,0.8834
12,0.3105,0.311,0.2997,0.8936
13,0.361,0.3636,0.3555,0.9025
14,0.3762,0.3708,0.3629,0.8997
15,0.338,0.3373,0.3298,0.9018
16,0.3706,0.3684,0.3654,0.9071
17,0.3877,0.39,0.3821,0.9148
18,0.4264,0.4306,0.4259,0.922
19,0.4537,0.4522,0.449,0.9323
20,0.4756,0.4617,0.4599,0.9277
21,0.4864,0.4761,0.4752,0.9297
22,0.4609,0.4545,0.4535,0.9335
23,0.4652,0.4498,0.45,0.9287
24,0.4934,0.4952,0.4876,0.9393
25,0.4695,0.4641,0.4629,0.9358
26,0.5194,0.5096,0.5097,0.9456
27,0.517,0.5096,0.5043,0.9417
28,0.5197,0.512,0.5052,0.9444
29,0.5587,0.5407,0.5383,0.9475
30,0.4835,0.4785,0.4736,0.9365
31,0.5592,0.5455,0.5417,0.9468
32,0.5507,0.5455,0.5392,0.9486
33,0.5734,0.5574,0.555,0.9561
34,0.5219,0.5144,0.5125,0.9467
35,0.6042,0.5909,0.5893,0.9555
36,0.6151,0.5981,0.5951,0.9551
37,0.555,0.5359,0.5361,0.9535
38,0.6913,0.6818,0.6796,0.9686
39,0.6546,0.634,0.6327,0.9604
40,0.6157,0.6053,0.6026,0.9605
