epoch,precision,recall,f1,macro_roc_auc
1,0.693,0.0598,0.0148,0.5095
2,0.5771,0.0981,0.0482,0.514
3,0.7512,0.0813,0.0199,0.5006
4,0.5995,0.0813,0.0282,0.5193
5,0.3881,0.1172,0.0659,0.5395
6,0.7006,0.1053,0.0523,0.552
7,0.6018,0.0837,0.0394,0.5617
8,0.4082,0.1005,0.0678,0.5917
9,0.4552,0.1148,0.0633,0.6036
10,0.4299,0.1411,0.0994,0.6422
11,0.485,0.1459,0.1179,0.6765
12,0.2848,0.1651,0.1246,0.7624
13,0.255,0.256,0.2246,0.814
14,0.2084,0.2201,0.1788,0.8339
15,0.2424,0.2799,0.2382,0.863
16,0.3189,0.2799,0.2328,0.8763
17,0.3316,0.3158,0.2904,0.8896
18,0.3803,0.366,0.3516,0.8953
19,0.3681,0.3349,0.3047,0.8979
20,0.3782,0.3541,0.3144,0.903
21,0.3341,0.3301,0.2996,0.8987
22,0.4007,0.3708,0.3462,0.9031
23,0.3918,0.3852,0.3648,0.9115
24,0.3808,0.3612,0.3261,0.9084
25,0.454,0.3971,0.3745,0.918
26,0.3868,0.3852,0.3732,0.9101
27,0.4351,0.3947,0.3664,0.913
28,0.3817,0.3804,0.3674,0.9181
29,0.3891,0.3612,0.3398,0.9115
30,0.4351,0.4163,0.4042,0.9222
31,0.3826,0.366,0.3519,0.9077
32,0.4274,0.3947,0.3684,0.9132
33,0.3971,0.3876,0.3704,0.9187
34,0.4058,0.3995,0.3841,0.92
35,0.414,0.4019,0.3946,0.9147
36,0.4495,0.4354,0.4202,0.928
37,0.4688,0.4689,0.4539,0.9364
38,0.4584,0.4617,0.4506,0.9351
39,0.4876,0.4665,0.4456,0.9375
40,0.4395,0.4234,0.4112,0.9306
