epoch,precision,recall,f1,macro_roc_auc
1,0.2479,0.1459,0.105,0.5996
2,0.1478,0.201,0.1367,0.7182
3,0.2155,0.2344,0.1765,0.7964
4,0.2412,0.2584,0.2135,0.8405
5,0.4,0.3828,0.3707,0.9016
6,0.3706,0.3636,0.3492,0.9051
7,0.3995,0.39,0.3818,0.9121
8,0.3293,0.3278,0.3161,0.8848
9,0.4122,0.4043,0.4021,0.9128
10,0.4337,0.4258,0.4228,0.9163
11,0.3902,0.378,0.3749,0.91
12,0.4621,0.4426,0.4414,0.9197
13,0.415,0.4187,0.4102,0.9224
14,0.5604,0.5502,0.5501,0.947
15,0.5728,0.5598,0.5603,0.9453
16,0.4866,0.4928,0.476,0.9413
17,0.5495,0.5455,0.5405,0.9508
18,0.5673,0.5718,0.5653,0.9539
19,0.6216,0.61,0.6094,0.9558
20,0.6018,0.5933,0.5901,0.9519
21,0.675,0.6507,0.6515,0.9598
22,0.6329,0.6196,0.6201,0.9612
23,0.594,0.5813,0.582,0.9521
24,0.7083,0.6914,0.6859,0.9663
25,0.697,0.689,0.6852,0.9682
26,0.7061,0.6938,0.6909,0.9679
27,0.6618,0.6435,0.644,0.9626
28,0.7159,0.7081,0.705,0.9712
29,0.7238,0.7153,0.7133,0.9741
30,0.685,0.6794,0.6766,0.9677
31,0.6794,0.6699,0.6695,0.9602
32,0.7392,0.7321,0.7315,0.9766
33,0.7129,0.7057,0.7046,0.9722
34,0.7182,0.7033,0.705,0.9712
35,0.7164,0.7081,0.7026,0.9737
36,0.7017,0.6986,0.6944,0.9733
37,0.6808,0.677,0.6753,0.9696
38,0.7101,0.701,0.7004,0.9743
39,0.7531,0.7488,0.7471,0.9789
40,0.7258,0.7273,0.722,0.9785
41,0.7266,0.7249,0.7226,0.9788
42,0.7615,0.756,0.7548,0.9804
43,0.6534,0.6411,0.6348,0.9595
44,0.7017,0.6986,0.6963,0.9699
45,0.7641,0.7584,0.7556,0.9788
46,0.7641,0.7464,0.7452,0.9787
47,0.7557,0.7416,0.7415,0.9715
48,0.7782,0.7656,0.7627,0.9785
49,0.7276,0.7201,0.7186,0.975
50,0.7842,0.7703,0.7681,0.9771
51,0.7819,0.7751,0.7702,0.9834
52,0.7705,0.7632,0.7608,0.9817
53,0.7315,0.7297,0.7274,0.9722
54,0.7375,0.7273,0.7296,0.9738
55,0.7895,0.7895,0.7873,0.9845
56,0.7976,0.7943,0.7942,0.9837
57,0.7504,0.7464,0.7449,0.9779
58,0.791,0.7847,0.7825,0.9821
59,0.7757,0.7703,0.77,0.9813
60,0.7768,0.7775,0.7754,0.9816
61,0.699,0.6842,0.6801,0.9608
62,0.6774,0.6746,0.6739,0.9665
63,0.7989,0.7967,0.7942,0.9832
64,0.7253,0.7249,0.7175,0.9751
65,0.8173,0.8134,0.8118,0.9833
66,0.8292,0.8278,0.8245,0.9869
67,0.8041,0.8014,0.8016,0.9837
68,0.8326,0.8278,0.8276,0.9858
69,0.805,0.8014,0.8002,0.9833
70,0.8136,0.8062,0.8057,0.9844
71,0.7299,0.7153,0.7147,0.9744
72,0.739,0.7344,0.7331,0.9769
73,0.7919,0.7799,0.7818,0.9799
74,0.7031,0.7057,0.6992,0.9706
75,0.8143,0.8062,0.8061,0.9811
76,0.8396,0.8301,0.8261,0.9876
77,0.8055,0.8014,0.7993,0.9849
78,0.8119,0.8062,0.8057,0.9856
79,0.8479,0.8397,0.8379,0.9872
80,0.8283,0.823,0.8215,0.9845
