epoch,precision,recall,f1,macro_roc_auc
1,0.7429,0.0909,0.0264,0.5209
2,0.5645,0.1268,0.0682,0.6089
3,0.6184,0.1483,0.0516,0.7061
4,0.2856,0.1651,0.0645,0.7294
5,0.3993,0.2057,0.1341,0.7771
6,0.4106,0.2656,0.2011,0.8334
7,0.2751,0.2967,0.2573,0.8616
8,0.3823,0.323,0.2944,0.882
9,0.4163,0.4474,0.4198,0.9159
10,0.4421,0.4354,0.4313,0.9199
11,0.4232,0.4139,0.4116,0.9078
12,0.4911,0.4809,0.4799,0.9291
13,0.394,0.3995,0.3847,0.9199
14,0.5408,0.5407,0.5391,0.9374
15,0.588,0.5766,0.5702,0.9504
16,0.5999,0.5837,0.5817,0.9513
17,0.688,0.677,0.6735,0.9623
18,0.6172,0.5981,0.592,0.9607
19,0.6873,0.6794,0.6797,0.9673
20,0.5729,0.5694,0.5555,0.9518
21,0.6825,0.677,0.6756,0.9685
22,0.6898,0.6818,0.681,0.9733
23,0.6345,0.6196,0.6189,0.965
24,0.773,0.7608,0.7618,0.9793
25,0.7477,0.7416,0.7414,0.9761
26,0.6983,0.689,0.69,0.9716
27,0.6886,0.6794,0.6766,0.9722
28,0.7418,0.7344,0.736,0.9761
29,0.7566,0.7488,0.748,0.978
30,0.7174,0.7057,0.7032,0.973
31,0.7404,0.7344,0.7341,0.9755
32,0.7366,0.7249,0.7226,0.9763
33,0.7443,0.7416,0.7404,0.9769
34,0.7288,0.7177,0.7193,0.9742
35,0.7771,0.7679,0.7686,0.9803
36,0.7359,0.7201,0.7198,0.9789
37,0.7686,0.756,0.7585,0.9757
38,0.7484,0.7416,0.7396,0.98
39,0.7698,0.7632,0.7635,0.9817
40,0.8105,0.8014,0.8022,0.9845
