epoch,precision,recall,f1,macro_roc_auc
1,0.7515,0.0957,0.018,0.5433
2,0.6926,0.1531,0.0568,0.6752
3,0.6911,0.1986,0.0951,0.7531
4,0.4794,0.2273,0.1523,0.8158
5,0.3895,0.3206,0.2826,0.8798
6,0.3408,0.3445,0.3221,0.8941
7,0.3545,0.3565,0.3287,0.9052
8,0.4301,0.4234,0.4172,0.9181
9,0.4478,0.4402,0.4241,0.9261
10,0.545,0.5335,0.5317,0.9427
11,0.5133,0.4976,0.4923,0.943
12,0.5111,0.5,0.4873,0.9387
13,0.6491,0.6483,0.6383,0.9637
14,0.6515,0.6459,0.6425,0.9653
15,0.6497,0.6388,0.6349,0.9696
16,0.7452,0.7297,0.7271,0.977
17,0.669,0.6603,0.6581,0.9642
18,0.7234,0.7153,0.7101,0.978
19,0.7414,0.7297,0.7298,0.979
20,0.8232,0.8158,0.8157,0.9874
21,0.8406,0.8349,0.8336,0.9888
22,0.7977,0.7943,0.7941,0.9868
23,0.7529,0.744,0.7437,0.9766
24,0.8258,0.8254,0.8243,0.9886
25,0.7526,0.744,0.7434,0.9804
26,0.8084,0.8038,0.803,0.9872
27,0.8425,0.8397,0.8381,0.9894
28,0.7852,0.7775,0.7749,0.985
29,0.8268,0.8206,0.8191,0.9875
30,0.7442,0.7392,0.735,0.9805
31,0.7869,0.7823,0.782,0.984
32,0.7948,0.7823,0.7802,0.9856
33,0.7502,0.7392,0.7366,0.9761
34,0.8872,0.8828,0.883,0.9921
35,0.8505,0.8469,0.8463,0.9904
36,0.8863,0.8804,0.8804,0.9926
37,0.862,0.8589,0.8584,0.9897
38,0.8294,0.811,0.8081,0.9875
39,0.8348,0.823,0.8217,0.9887
40,0.7705,0.7584,0.7565,0.9869
41,0.8681,0.8589,0.8599,0.9916
42,0.8263,0.8182,0.8166,0.9861
43,0.8575,0.8517,0.8516,0.9893
44,0.8283,0.8254,0.8246,0.9887
45,0.8741,0.8708,0.8706,0.9907
46,0.8359,0.823,0.8227,0.991
47,0.842,0.8373,0.8375,0.9881
48,0.8746,0.8732,0.8724,0.9911
49,0.8867,0.8852,0.8852,0.992
50,0.8895,0.8852,0.8855,0.9913
51,0.8588,0.8541,0.8541,0.9883
52,0.8627,0.8589,0.8588,0.9864
53,0.8621,0.8541,0.8539,0.9889
54,0.8496,0.8469,0.8468,0.9817
55,0.8846,0.8828,0.8826,0.9912
56,0.8811,0.878,0.8776,0.989
57,0.8638,0.8565,0.8563,0.9901
58,0.8815,0.878,0.8781,0.9908
59,0.8881,0.8852,0.885,0.9909
60,0.8353,0.8349,0.8346,0.9849
61,0.8676,0.8612,0.8598,0.9899
62,0.8628,0.8589,0.8573,0.9918
63,0.8838,0.8828,0.8825,0.99
64,0.8598,0.8565,0.8563,0.9894
65,0.9082,0.9019,0.9017,0.9916
66,0.8958,0.8923,0.892,0.9902
67,0.8505,0.8445,0.8438,0.9894
68,0.8824,0.878,0.8779,0.9914
69,0.8552,0.8493,0.8482,0.9879
70,0.7975,0.7943,0.7926,0.9807
71,0.8721,0.8684,0.8684,0.9878
72,0.8037,0.7895,0.7889,0.9787
73,0.8804,0.878,0.8781,0.9898
74,0.9006,0.8971,0.8966,0.9927
75,0.8682,0.8636,0.8634,0.9907
76,0.8611,0.8565,0.8559,0.9867
77,0.837,0.8349,0.8347,0.9844
78,0.8818,0.8804,0.8804,0.9915
79,0.9035,0.9019,0.9019,0.9914
80,0.9086,0.9067,0.9068,0.9911
81,0.9112,0.9091,0.9093,0.9903
82,0.9137,0.9115,0.9118,0.992
83,0.8877,0.8852,0.8852,0.9905
84,0.892,0.8876,0.8879,0.9927
85,0.8631,0.8612,0.8613,0.9881
86,0.893,0.89,0.89,0.9919
87,0.8661,0.8636,0.863,0.991
88,0.9211,0.9187,0.9188,0.9932
89,0.8431,0.8325,0.8313,0.9868
90,0.8732,0.866,0.8668,0.9907
91,0.9029,0.8995,0.8995,0.9938
92,0.8854,0.8804,0.8803,0.9912
93,0.8809,0.8756,0.8757,0.9902
94,0.8806,0.8732,0.8739,0.9894
95,0.884,0.878,0.8775,0.9873
96,0.9041,0.9019,0.9015,0.9932
97,0.8535,0.8493,0.8485,0.9879
98,0.8663,0.8565,0.8572,0.9884
99,0.8673,0.8636,0.8638,0.992
100,0.8763,0.8708,0.8707,0.9906
